Search Term,carbon credit
Geography,Worldwide
Time Period,2004-P
Type,Web Search
,
Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,7,2089
2004-02-01,8,2388
2004-03-01,14,4179
2004-04-01,10,2985
2004-05-01,25,7462
2004-06-01,23,6865
2004-07-01,19,5671
2004-08-01,15,4477
2004-09-01,23,6865
2004-10-01,25,7462
2004-11-01,25,7462
2004-12-01,12,3582
2005-01-01,7,2089
2005-02-01,23,6865
2005-03-01,32,9552
2005-04-01,19,5671
2005-05-01,24,7164
2005-06-01,20,5970
2005-07-01,39,11642
2005-08-01,21,6268
2005-09-01,48,14328
2005-10-01,18,5373
2005-11-01,35,10448
2005-12-01,29,8656
2006-01-01,21,6268
2006-02-01,21,6268
2006-03-01,40,11940
2006-04-01,29,8656
2006-05-01,35,10448
2006-06-01,34,10149
2006-07-01,22,6567
2006-08-01,39,11642
2006-09-01,43,12836
2006-10-01,29,8656
2006-11-01,47,14030
2006-12-01,38,11343
2007-01-01,43,12836
2007-02-01,60,17911
2007-03-01,75,22388
2007-04-01,70,20896
2007-05-01,76,22687
2007-06-01,65,19403
2007-07-01,79,23582
2007-08-01,68,20299
2007-09-01,73,21791
2007-10-01,71,21194
2007-11-01,76,22687
2007-12-01,65,19403
2008-01-01,71,21194
2008-02-01,80,23881
2008-03-01,65,19403
2008-04-01,87,25970
2008-05-01,77,22985
2008-06-01,88,26269
2008-07-01,100,29851
2008-08-01,74,22090
2008-09-01,69,20597
2008-10-01,71,21194
2008-11-01,56,16716
2008-12-01,52,15522
2009-01-01,57,17015
2009-02-01,57,17015
2009-03-01,57,17015
2009-04-01,61,18209
2009-05-01,49,14627
2009-06-01,62,18508
2009-07-01,66,19702
2009-08-01,63,18806
2009-09-01,55,16418
2009-10-01,53,15821
2009-11-01,59,17612
2009-12-01,72,21493
2010-01-01,65,19403
2010-02-01,68,20299
2010-03-01,57,17015
2010-04-01,63,18806
2010-05-01,48,14328
2010-06-01,48,14328
2010-07-01,42,12537
2010-08-01,44,13134
2010-09-01,48,14328
2010-10-01,41,12239
2010-11-01,49,14627
2010-12-01,44,13134
2011-01-01,48,14328
2011-02-01,47,14030
2011-03-01,42,12537
2011-04-01,40,11940
2011-05-01,38,11343
2011-06-01,40,11940
2011-07-01,44,13134
2011-08-01,42,12537
2011-09-01,46,13731
2011-10-01,44,13134
2011-11-01,45,13433
2011-12-01,45,13433
2012-01-01,44,13134
2012-02-01,49,14627
2012-03-01,43,12836
2012-04-01,35,10448
2012-05-01,29,8656
2012-06-01,33,9851
2012-07-01,29,8656
2012-08-01,30,8955
2012-09-01,32,9552
2012-10-01,32,9552
