Search Term,energy index
Geography,Worldwide
Time Period,2004-P
Type,Web Search
,
Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,30,11086
2004-02-01,60,22173
2004-03-01,61,22542
2004-04-01,26,9608
2004-05-01,53,19586
2004-06-01,32,11825
2004-07-01,42,15521
2004-08-01,35,12934
2004-09-01,60,22173
2004-10-01,59,21803
2004-11-01,24,8869
2004-12-01,32,11825
2005-01-01,45,16629
2005-02-01,57,21064
2005-03-01,72,26607
2005-04-01,53,19586
2005-05-01,51,18847
2005-06-01,49,18108
2005-07-01,49,18108
2005-08-01,54,19955
2005-09-01,69,25499
2005-10-01,49,18108
2005-11-01,47,17368
2005-12-01,50,18477
2006-01-01,55,20325
2006-02-01,67,24759
2006-03-01,61,22542
2006-04-01,64,23651
2006-05-01,61,22542
2006-06-01,39,14412
2006-07-01,38,14042
2006-08-01,59,21803
2006-09-01,42,15521
2006-10-01,36,13303
2006-11-01,49,18108
2006-12-01,33,12195
2007-01-01,57,21064
2007-02-01,52,19216
2007-03-01,50,18477
2007-04-01,52,19216
2007-05-01,56,20694
2007-06-01,48,17738
2007-07-01,54,19955
2007-08-01,45,16629
2007-09-01,42,15521
2007-10-01,46,16999
2007-11-01,51,18847
2007-12-01,45,16629
2008-01-01,53,19586
2008-02-01,54,19955
2008-03-01,47,17368
2008-04-01,64,23651
2008-05-01,61,22542
2008-06-01,56,20694
2008-07-01,59,21803
2008-08-01,47,17368
2008-09-01,49,18108
2008-10-01,57,21064
2008-11-01,51,18847
2008-12-01,44,16260
2009-01-01,47,17368
2009-02-01,43,15890
2009-03-01,45,16629
2009-04-01,47,17368
2009-05-01,45,16629
2009-06-01,48,17738
2009-07-01,39,14412
2009-08-01,40,14782
2009-09-01,38,14042
2009-10-01,37,13673
2009-11-01,45,16629
2009-12-01,36,13303
2010-01-01,40,14782
2010-02-01,35,12934
2010-03-01,40,14782
2010-04-01,50,18477
2010-05-01,42,15521
2010-06-01,34,12564
2010-07-01,31,11456
2010-08-01,32,11825
2010-09-01,33,12195
2010-10-01,31,11456
2010-11-01,32,11825
2010-12-01,28,10347
2011-01-01,41,15151
2011-02-01,40,14782
2011-03-01,45,16629
2011-04-01,44,16260
2011-05-01,35,12934
2011-06-01,32,11825
2011-07-01,31,11456
2011-08-01,35,12934
2011-09-01,32,11825
2011-10-01,31,11456
2011-11-01,32,11825
2011-12-01,26,9608
2012-01-01,31,11456
2012-02-01,33,12195
2012-03-01,34,12564
2012-04-01,31,11456
2012-05-01,27,9977
2012-06-01,28,10347
2012-07-01,29,10716
2012-08-01,24,8869
2012-09-01,28,10347
2012-10-01,33,12195
